Epoch,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy,Train Recall,Valid Recall,Train F1 Score,Valid F1 Score
1,2.819479455027664,2.174200568282813,0.16776315789473684,0.5,0.16776315789473684,0.5,0.2423265887572614,0.5258055935265533
2,1.6873704278678225,1.329391688631292,0.6101973684210525,0.6622807017543859,0.6101973684210527,0.6622807017543859,0.606228844633095,0.6472755733626925
3,1.068435582675432,0.9703729591871563,0.7247807017543859,0.7192982456140351,0.7247807017543859,0.7192982456140351,0.7216091027026974,0.7130868126343239
4,0.7334881524244944,0.7875696012848302,0.7976973684210525,0.7412280701754386,0.7976973684210527,0.7412280701754386,0.796592326234102,0.7399676431103921
5,0.5483869485426367,0.7128497121626871,0.8448464912280701,0.7412280701754386,0.8448464912280702,0.7412280701754386,0.8444938024783544,0.7381589706713825
6,0.4154401069931817,0.6468266280073869,0.8876096491228069,0.7675438596491228,0.887609649122807,0.7675438596491229,0.8875943168273832,0.7672837590769015
7,0.2963655747211816,0.6306326431140565,0.9309210526315789,0.7763157894736842,0.930921052631579,0.7763157894736842,0.9309258219782605,0.7760256094051876
8,0.2192866206822688,0.6030402335158566,0.9594298245614035,0.7894736842105263,0.9594298245614035,0.7894736842105263,0.9594319924824337,0.7890951959917477
9,0.1787995976444922,0.6235141691408659,0.9676535087719298,0.7719298245614035,0.9676535087719298,0.7719298245614035,0.9676452490172767,0.771271124802122
10,0.13843171958599174,0.6302232773680436,0.9747807017543859,0.7807017543859649,0.9747807017543859,0.7807017543859649,0.9747824607059128,0.7805912801061914
11,0.12148221317482621,0.6249800873430151,0.9797149122807017,0.7543859649122806,0.9797149122807017,0.7543859649122807,0.9797216713677286,0.7539983125259199
12,0.08846722203388549,0.6718486641582689,0.9901315789473684,0.7368421052631579,0.9901315789473685,0.7368421052631579,0.990127913017318,0.7362238349484452
13,0.06994991192365424,0.6495662974683862,0.993969298245614,0.7719298245614035,0.9939692982456141,0.7719298245614035,0.9939701479674758,0.7701413172665379
