Epoch,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy,Train Recall,Valid Recall,Train F1 Score,Valid F1 Score
1,1.5834256515168308,1.0478433454245852,0.3536184210526316,0.4605263157894737,0.3536184210526316,0.4605263157894737,0.36156589207487416,0.3973838624332732
2,1.0172279717629416,0.7792236951359531,0.5,0.631578947368421,0.5,0.631578947368421,0.4999050318622684,0.6259688517099357
3,0.7662885081872606,0.6089716930138437,0.6617324561403508,0.7236842105263157,0.6617324561403509,0.7236842105263158,0.6616457831464494,0.7226946414057229
4,0.6009651014679357,0.5613407999799963,0.7434210526315789,0.7587719298245613,0.743421052631579,0.7587719298245614,0.7432776910824221,0.7581571657953413
5,0.5017571166941994,0.5492106968896431,0.7867324561403508,0.7675438596491228,0.7867324561403509,0.7675438596491229,0.786439509461246,0.7672741557100341
6,0.41297256959634915,0.5273851490857309,0.825657894736842,0.7938596491228069,0.8256578947368421,0.793859649122807,0.8258157340049461,0.7944339265429762
7,0.3455329949134274,0.5180284861932721,0.8536184210526315,0.7763157894736842,0.8536184210526315,0.7763157894736842,0.853595698717015,0.7765909427970226
8,0.2625745800895649,0.5117763395895037,0.8969298245614035,0.8070175438596491,0.8969298245614035,0.8070175438596491,0.8969165062537314,0.8082853053258731
9,0.20841003428294994,0.5142714400824747,0.9177631578947368,0.8157894736842105,0.9177631578947368,0.8157894736842105,0.917770057995664,0.8167843788948899
10,0.1266327702865135,0.5175919090969521,0.9550438596491228,0.8289473684210525,0.9550438596491229,0.8289473684210527,0.9550473864507507,0.829776351166358
11,0.09452145430667881,0.6344320632909474,0.9660087719298245,0.8070175438596491,0.9660087719298246,0.8070175438596491,0.9659933945693999,0.8062120020402229
12,0.0765996742380881,0.5752841773393907,0.9764254385964912,0.8245614035087718,0.9764254385964912,0.8245614035087719,0.976425913022131,0.8248520374932744
13,0.06473316895579428,0.5761523622398576,0.9824561403508771,0.8201754385964912,0.9824561403508771,0.8201754385964912,0.9824417369451968,0.8201309202926453
