Epoch,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy,Train Recall,Valid Recall,Train F1 Score,Valid F1 Score
1,3.3789896985940766,3.3440541259029457,0.925986842105263,1.0,0.33223684210526316,0.3333333333333333,0.25880207617243467,0.16666666666666666
2,3.1668573743418644,3.0831311627438196,0.9994517543859649,1.0,0.5257675438596491,0.6140350877192983,0.5118411643765112,0.6109628282849637
3,3.0578250048453346,3.0905609214515017,0.988486842105263,1.0,0.6332236842105263,0.5833333333333334,0.6321924410097255,0.5478996312329646
4,3.011099361536796,2.9828195613727235,0.9895833333333333,1.0,0.6726973684210527,0.7017543859649122,0.6711207319603081,0.7006674247767655
5,2.9761511087417603,2.978885608806945,0.9901315789473684,1.0,0.712171052631579,0.6973684210526315,0.7109774537020552,0.6964113856712144
6,2.9371419162081,2.9428152661574516,0.9917763157894737,1.0,0.7527412280701754,0.7456140350877193,0.752686479564427,0.7452294565338043
7,2.9161272509056224,2.933394741593746,0.9928728070175438,1.0,0.7708333333333334,0.7543859649122807,0.7708287021426282,0.7544054280018008
8,2.915117617239032,2.9287530246533846,0.9945175438596491,1.0,0.7664473684210527,0.7543859649122807,0.7668788908329957,0.7546570283912056
9,2.8824669227265476,2.921552298361795,0.9945175438596491,1.0,0.8042763157894737,0.7675438596491229,0.8042419961643357,0.7682795223015721
10,2.8881982230303582,2.932872512884307,0.9912280701754386,1.0,0.8004385964912281,0.75,0.800689346790086,0.7502388029696005
11,2.8575819730758667,2.9359037499678764,0.9879385964912281,1.0,0.8289473684210527,0.7456140350877193,0.8290501321837985,0.7446673017661415
12,2.8454005258125172,2.894948875694944,0.9862938596491228,1.0,0.8432017543859649,0.7850877192982456,0.8428281872250986,0.7846161022644619
13,2.826820078649019,2.9164063637716726,0.9912280701754386,1.0,0.8618421052631579,0.7631578947368421,0.8614252804622009,0.7640348091215144
14,2.8142810139739725,2.902734948877703,0.9934210526315789,0.9956140350877193,0.8706140350877193,0.7807017543859649,0.8703203632039297,0.7802398671963888
15,2.809135033373247,2.9000314996953596,0.9934210526315789,1.0,0.8766447368421053,0.7807017543859649,0.876222262798724,0.7808158335843077
16,2.8033561832026432,2.8987590890181694,0.9945175438596491,1.0,0.8826754385964912,0.7807017543859649,0.8828931343826374,0.7796480463117051
17,2.794973137085898,2.913291805668881,0.993969298245614,0.9956140350877193,0.8930921052631579,0.7675438596491229,0.892820581863432,0.7674406529671377
