Epoch,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy,Train Recall,Valid Recall,Train F1 Score,Valid F1 Score
1,1.5274633906389539,0.996168621799402,0.3508771929824561,0.5043859649122807,0.3508771929824561,0.5043859649122807,0.3586308106887374,0.47540179287892337
2,0.9883246442727875,0.7454417170139781,0.5148026315789473,0.6798245614035088,0.5148026315789473,0.6798245614035088,0.513658707029462,0.6767307809803111
3,0.811680053932625,0.6628706748025459,0.6233552631578947,0.7149122807017544,0.6233552631578947,0.7149122807017544,0.6221273843804116,0.7145563698915286
4,0.6571060858274761,0.6148396296459332,0.7143640350877193,0.7368421052631579,0.7143640350877193,0.7368421052631579,0.7135218221143609,0.7360289148263832
5,0.5796258350213369,0.6082721917252791,0.7379385964912281,0.7236842105263157,0.7379385964912281,0.7236842105263158,0.7376556648830292,0.7224821773208869
6,0.4683715911549434,0.6385533349555835,0.8048245614035088,0.7368421052631579,0.8048245614035088,0.7368421052631579,0.8045569753797264,0.7354521434621559
7,0.39437769719383176,0.5704086098754615,0.8371710526315789,0.7587719298245613,0.837171052631579,0.7587719298245614,0.8370383400540768,0.7561803532234369
8,0.30725545187791187,0.5515637112814084,0.8777412280701754,0.7236842105263157,0.8777412280701754,0.7236842105263158,0.877479484270584,0.7250905008477295
9,0.23170827214785836,0.605731060368973,0.9133771929824561,0.7587719298245613,0.9133771929824561,0.7587719298245614,0.9132858386859947,0.7601714873075972
10,0.17432768097180024,0.5643108241390764,0.9336622807017544,0.8026315789473684,0.9336622807017544,0.8026315789473685,0.9336647022344834,0.8015610026948502
11,0.1134931480413989,0.5736979619975675,0.9632675438596491,0.7894736842105263,0.9632675438596491,0.7894736842105263,0.9632581847354204,0.7909609070545276
12,0.12273630475331294,0.5055664001326812,0.9610745614035087,0.8201754385964912,0.9610745614035088,0.8201754385964912,0.961061779572275,0.8200790134806197
13,0.06831326193519328,0.6423455552573789,0.9797149122807017,0.7982456140350876,0.9797149122807017,0.7982456140350878,0.9797038172010205,0.7987915962654507
14,0.03956303951685856,0.5877023359205116,0.9890350877192982,0.8289473684210525,0.9890350877192983,0.8289473684210527,0.9890350877192983,0.8291134372997224
15,0.025625988929644797,0.8915713063457555,0.993969298245614,0.7543859649122806,0.9939692982456141,0.7543859649122807,0.9939715365922576,0.7512692700697499
16,0.01748408354959745,0.6076466294430327,0.9972587719298245,0.8508771929824561,0.9972587719298246,0.8508771929824561,0.9972596725378748,0.8509227851333113
17,0.015107087336537805,0.7518405103810916,0.9967105263157894,0.8114035087719298,0.9967105263157895,0.8114035087719298,0.9967109756928817,0.811429218701328
