Epoch,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy,Train Recall,Valid Recall,Train F1 Score,Valid F1 Score
1,1.5868593229536425,0.9998018741607666,0.33059210526315785,0.5526315789473684,0.3305921052631579,0.5526315789473685,0.3388044320502384,0.5230283605283605
2,0.9606965618175373,0.7922726754556623,0.5487938596491228,0.6096491228070176,0.5487938596491229,0.6096491228070176,0.5465328791347891,0.6070372850975445
3,0.7388832940344225,0.6811115825385378,0.6737938596491228,0.6842105263157894,0.6737938596491229,0.6842105263157895,0.6730531942269975,0.680002041076668
4,0.6060927924618387,0.5350582610096848,0.7428728070175438,0.7763157894736842,0.7428728070175439,0.7763157894736842,0.7427893791980923,0.7770293553875642
5,0.5179667959087774,0.478586941434626,0.7697368421052632,0.8026315789473684,0.7697368421052632,0.8026315789473685,0.7697359901868073,0.8031956601750653
6,0.4026823401320399,0.47425471533808794,0.8327850877192982,0.7982456140350876,0.8327850877192983,0.7982456140350878,0.8327509900920453,0.7984640158553202
7,0.3105326760560274,0.49781961582208933,0.8733552631578947,0.8070175438596491,0.8733552631578947,0.8070175438596491,0.8734117999560943,0.8073606420985662
8,0.26564299648529605,0.4709748777381161,0.8980263157894737,0.7807017543859649,0.8980263157894737,0.7807017543859649,0.8980248894441741,0.7807407407407407
9,0.1778668121908579,0.5291439514411124,0.9336622807017544,0.7938596491228069,0.9336622807017544,0.793859649122807,0.9336847548109384,0.7930504043864368
10,0.13081517905454365,0.5160346420710547,0.9539473684210525,0.7982456140350876,0.9539473684210527,0.7982456140350878,0.9539237004546529,0.7985721032308248
11,0.09928878074054394,0.5460583382008368,0.9703947368421052,0.8289473684210525,0.9703947368421053,0.8289473684210527,0.9703891754665515,0.8288008773391082
12,0.060300763324720036,0.5112093509289256,0.9802631578947368,0.837719298245614,0.9802631578947368,0.8377192982456141,0.9802626399883679,0.8378072569723424
13,0.04971687870075632,0.5236244760126921,0.9851973684210525,0.8333333333333333,0.9851973684210527,0.8333333333333334,0.98519054541611,0.8332100135651744
