Epoch,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy,Train Recall,Valid Recall,Train F1 Score,Valid F1 Score
1,3.571892159026966,3.402402664485731,0.36239035087719296,0.631578947368421,0.22971491228070176,0.4692982456140351,0.2936644535207865,0.45408389756215845
2,3.2770022237510013,3.2003815299586247,0.7023026315789473,0.7631578947368421,0.49396929824561403,0.5175438596491229,0.4827425770369058,0.4987881891107697
3,3.164679109004506,3.1371488403855707,0.7949561403508771,0.8026315789473685,0.5504385964912281,0.5701754385964912,0.541691036471824,0.5617678959720376
4,3.0629967283784296,3.05215186821787,0.8843201754385965,0.9035087719298246,0.6661184210526315,0.6622807017543859,0.6647730117927352,0.6626248181614461
5,2.976133106047647,3.006126642227173,0.9380482456140351,0.9692982456140351,0.7445175438596491,0.706140350877193,0.7443223310449608,0.7054638106918419
6,2.9202516664538467,2.989217657791941,0.9572368421052632,0.9736842105263158,0.8004385964912281,0.7368421052631579,0.8000289263501846,0.7400401451478509
7,2.870499665277046,2.965685773314091,0.9703947368421053,1.0,0.8453947368421053,0.7456140350877193,0.8449582918117745,0.745584846331115
8,2.83896541595459,2.9447849675228723,0.9830043859649122,0.9956140350877193,0.8717105263157895,0.7719298245614035,0.8712178094655537,0.7728341119239793
9,2.811608450454578,2.9426393174288568,0.9884868421052632,0.9956140350877193,0.8941885964912281,0.7587719298245614,0.8939508727352042,0.7586235247213495
10,2.788906452948587,2.9362858554773164,0.9945175438596491,0.9956140350877193,0.9172149122807017,0.7807017543859649,0.917070390037767,0.7807425865065029
11,2.7680487109903704,2.927382833079288,0.9978070175438597,0.9956140350877193,0.9402412280701754,0.7894736842105263,0.940040574434177,0.7894469638629816
12,2.7569981269669115,2.9226971216369093,0.9972587719298246,0.9956140350877193,0.9479166666666666,0.8026315789473685,0.9478236672899454,0.8032739274380228
13,2.74098751628608,2.931920474035698,0.9961622807017544,0.9956140350877193,0.9599780701754386,0.7631578947368421,0.9599150731032707,0.7653781512605043
14,2.7281411572506555,2.9329677255530107,0.9983552631578947,1.0,0.9703947368421053,0.7675438596491229,0.9703447593322361,0.7688955769145805
15,2.722872102469729,2.9274920246057343,0.9972587719298246,0.9956140350877193,0.9736842105263158,0.7719298245614035,0.9736476467118736,0.7740296109015702
16,2.714766922749971,2.9099121428372565,0.9978070175438597,1.0,0.9791666666666666,0.7850877192982456,0.979154975174899,0.7853278379594169
17,2.7147479245537207,2.929983716262014,0.9983552631578947,1.0,0.9797149122807017,0.7763157894736842,0.9797179896362153,0.7770239875503033
18,2.7108019569463897,2.9248059256034984,0.9978070175438597,0.9956140350877193,0.9830043859649122,0.7631578947368421,0.9829931427730481,0.7654798804836503
19,2.7115766709310964,2.910963384728683,0.9983552631578947,0.9956140350877193,0.9824561403508771,0.7894736842105263,0.9824335444348451,0.7905317013444219
20,2.705548652431421,2.9072098062749494,0.9994517543859649,0.9956140350877193,0.9862938596491229,0.7982456140350878,0.9862787081055994,0.7974966726134851
21,2.7094760965882685,2.9041300740158347,0.9967105263157895,1.0,0.9824561403508771,0.793859649122807,0.9824461635376394,0.7936995025602622
22,2.70412726569594,2.8993094803994164,0.9994517543859649,1.0,0.9857456140350878,0.7982456140350878,0.9857335288219903,0.797972027626679
23,2.699703626465379,2.9037582330536424,0.9994517543859649,0.9956140350877193,0.9884868421052632,0.7894736842105263,0.9884813147866074,0.7892406649878648
24,2.7028586278881943,2.9029555237084104,0.9994517543859649,1.0,0.9851973684210527,0.8070175438596491,0.9851798795018859,0.8082155792965956
25,2.6966470710018227,2.898143818503932,0.9989035087719298,1.0,0.9917763157894737,0.8070175438596491,0.9917744570335494,0.8070131201253538
26,2.6987801204647934,2.902149643814355,0.9994517543859649,1.0,0.9901315789473685,0.8070175438596491,0.9901295327358458,0.8063076717761001
27,2.696003236268696,2.8964374650988662,0.9994517543859649,1.0,0.993421052631579,0.8157894736842105,0.9934183073479761,0.8149619482496195
28,2.6972232136810037,2.9062041734394275,1.0,0.9956140350877193,0.9906798245614035,0.793859649122807,0.9906757267540659,0.7954121927749794
29,2.6967609095991705,2.8948139307791725,1.0,0.9956140350877193,0.9912280701754386,0.8070175438596491,0.9912262014596628,0.8069244302121015
30,2.6945960166161522,2.9007259168122945,1.0,1.0,0.993421052631579,0.7894736842105263,0.993419571840039,0.7895796285883645
31,2.6931416507352863,2.887469743427477,0.9989035087719298,1.0,0.9945175438596491,0.8245614035087719,0.994517044330615,0.8243029472376727
32,2.6917423344495,2.8950563230012594,0.9994517543859649,1.0,0.9945175438596491,0.8070175438596491,0.9945175253026202,0.8062222633558654
33,2.692721230941906,2.9119402734856856,1.0,1.0,0.9939692982456141,0.8026315789473685,0.9939683147761672,0.8036772525232174
34,2.691295941670736,2.9014488772342077,0.9994517543859649,0.9956140350877193,0.9950657894736842,0.8026315789473685,0.9950648706775517,0.8032933292929062
35,2.6914329236013845,2.9079830437375787,1.0,0.9956140350877193,0.9939692982456141,0.7894736842105263,0.9939696989556835,0.7888481090874015
36,2.693623521871734,2.9016060243573105,1.0,1.0,0.9950657894736842,0.7850877192982456,0.9950644168639518,0.7857621042897117
