Epoch,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy,Train Recall,Valid Recall,Train F1 Score,Valid F1 Score
1,1.635352653559121,1.0246180810895906,0.34441087613293053,0.6258503401360545,0.34441087613293053,0.6258503401360545,0.3575926109808947,0.6014997848669248
2,1.087743665756656,0.9155869942133118,0.4622356495468278,0.564625850340136,0.4622356495468278,0.564625850340136,0.46208184251432566,0.553426412767188
3,0.9600205539696647,0.7130163962743721,0.5669687814702921,0.7346938775510203,0.5669687814702921,0.7346938775510204,0.5643596921303948,0.7340865424183859
4,0.7979799549959127,0.6649841745289005,0.6555891238670695,0.7687074829931972,0.6555891238670695,0.7687074829931972,0.655578060192917,0.768412541359463
5,0.6968235857109469,0.6542218244400154,0.7089627391742195,0.7755102040816326,0.7089627391742196,0.7755102040816326,0.7087415075431761,0.7765937019969278
6,0.6306258211023018,0.6986503262503617,0.7462235649546828,0.727891156462585,0.7462235649546828,0.7278911564625851,0.746497808599225,0.7185574229691877
7,0.6079682686177625,0.67598501334385,0.7532729103726082,0.7414965986394557,0.7532729103726082,0.7414965986394558,0.7529572054770423,0.7400329676980643
8,0.48167547262447236,0.7199189920409196,0.8096676737160121,0.6870748299319728,0.8096676737160121,0.6870748299319728,0.8100952586944629,0.6933467328709612
9,0.4659748658432821,0.7086775144752191,0.8177240684793555,0.7414965986394557,0.8177240684793555,0.7414965986394558,0.8187220117540268,0.7382784228578622
10,0.3520350474545363,0.6696325613527881,0.8600201409869084,0.7414965986394557,0.8600201409869084,0.7414965986394558,0.8603393875612997,0.7397624915084178
