Epoch,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy,Train Recall,Valid Recall,Train F1 Score,Valid F1 Score
1,2.9683065284775103,2.632487949059934,0.15206445115810674,0.3469387755102041,0.15206445115810674,0.3469387755102041,0.17680717146980393,0.3389505683320116
2,2.2376756516828276,1.9991249219089948,0.5065458207452165,0.5306122448979592,0.5065458207452165,0.5306122448979592,0.49528556095788867,0.49886363825015234
3,1.6500956078190339,1.5448037118327862,0.6475327291037261,0.6462585034013605,0.6475327291037261,0.6462585034013606,0.6417345257370719,0.6369792151628957
4,1.1895884670399708,1.1965939917531954,0.756294058408862,0.7074829931972789,0.756294058408862,0.7074829931972789,0.7560573892989314,0.7073071000964738
5,0.8830020900699427,1.0451288436140334,0.8167170191339376,0.7074829931972789,0.8167170191339376,0.7074829931972789,0.8166909506604841,0.706114050558495
6,0.6499185278816646,0.9127009060918069,0.8590130916414904,0.7551020408163265,0.8590130916414904,0.7551020408163265,0.8590312011207535,0.7494531806121788
7,0.4822723681833089,0.8983982381772022,0.905337361530715,0.7414965986394557,0.905337361530715,0.7414965986394558,0.9053184341082278,0.743286646422981
8,0.36485035854043796,0.8685463861543306,0.9415911379657603,0.7346938775510203,0.9415911379657603,0.7346938775510204,0.9415462596901885,0.7274077794741082
9,0.28871631622314453,0.8168143291457169,0.9607250755287009,0.7346938775510203,0.9607250755287009,0.7346938775510204,0.9607356334524495,0.7316751579822011
10,0.21518611703874602,0.7878096462512503,0.9748237663645518,0.7074829931972789,0.9748237663645518,0.7074829931972789,0.9747680245255004,0.7050096011557252
11,0.19057307574684165,0.773331747776797,0.9778449144008057,0.7142857142857143,0.9778449144008057,0.7142857142857143,0.9778355447279131,0.7138663517168189
12,0.14691743725856385,0.7838617620014009,0.9848942598187311,0.7006802721088435,0.9848942598187311,0.7006802721088435,0.9848849435924865,0.7009102518507794
13,0.11606426961712486,0.7786441806222306,0.9889224572004028,0.7482993197278911,0.9889224572004028,0.7482993197278912,0.9889312275852693,0.7461144774228886
14,0.10760216824597822,0.7751967888705584,0.9899295065458208,0.7551020408163265,0.9899295065458208,0.7551020408163265,0.9899168930905635,0.7536367919115725
15,0.10303034222978359,0.7799726777336224,0.9889224572004028,0.7074829931972789,0.9889224572004028,0.7074829931972789,0.988920917590959,0.7066712162962582
16,0.06617155545067571,0.7857722260919558,0.9979859013091642,0.6802721088435374,0.9979859013091642,0.6802721088435374,0.9979858990112397,0.679316382542189
