Epoch,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy,Train Recall,Valid Recall,Train F1 Score,Valid F1 Score
1,3.2410332285025327,3.2148086732747605,0.2406847935548842,0.3673469387755102,0.1339375629405841,0.272108843537415,0.15654187631753064,0.3067594078830034
2,3.094277518033261,2.9750780313193395,0.5397784491440081,0.6258503401360545,0.40080563947633435,0.47619047619047616,0.3691512551924884,0.41227425929721484
3,2.9212387556515913,2.866244217165473,0.7512588116817724,0.8027210884353742,0.5045317220543807,0.5510204081632653,0.4582539374206042,0.49995044107443753
4,2.8194395283317757,2.762201948230769,0.8338368580060423,0.8163265306122449,0.5971802618328298,0.6258503401360545,0.581526976895698,0.6198192445165811
5,2.7029084270934445,2.7064613111976055,0.8580060422960725,0.8639455782312925,0.6817724068479355,0.6666666666666666,0.6782211504979945,0.6645276292335116
6,2.638101729261431,2.655101928581186,0.9063444108761329,0.9047619047619048,0.7321248741188319,0.7074829931972789,0.7307546027058245,0.7060313671303218
7,2.5929684809447537,2.6229333504527603,0.9315206445115811,0.9387755102040817,0.7774420946626385,0.7755102040816326,0.7761464190323553,0.7757446808510639
8,2.554058455268422,2.626293195348208,0.9506545820745217,0.9523809523809523,0.8167170191339376,0.7619047619047619,0.8161673283473783,0.7620791906506192
9,2.5188806705244358,2.607035134114376,0.9718026183282981,0.9387755102040817,0.8469284994964753,0.7619047619047619,0.8467421010299178,0.7614221593760626
10,2.472086586140674,2.613585733232044,0.973816717019134,0.9455782312925171,0.8831822759315207,0.7755102040816326,0.8830830083738161,0.775754404325833
11,2.452307148402311,2.6111282248075316,0.9718026183282981,0.9523809523809523,0.904330312185297,0.7551020408163265,0.9043040207003655,0.7545628180350155
12,2.434221371663181,2.6183658862600523,0.9778449144008057,0.9591836734693877,0.9174219536757301,0.7755102040816326,0.9174425690162835,0.7747085366132985
13,2.417821933615724,2.631349531160731,0.9828801611278952,0.9591836734693877,0.9274924471299094,0.7142857142857143,0.9275470678317268,0.7116260645672411
14,2.4038149871134684,2.6139629908970425,0.9889224572004028,0.9523809523809523,0.9436052366565961,0.7482993197278912,0.9436038888864519,0.7448821730527073
