Epoch,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy,Train Recall,Valid Recall,Train F1 Score,Valid F1 Score
1,3.048131825631125,2.3629371659797536,0.2225877192982456,0.5657894736842105,0.2225877192982456,0.5657894736842105,0.3204551472864525,0.5870460704607046
2,1.8025203629543907,1.410131245328669,0.6606359649122807,0.7017543859649122,0.6606359649122807,0.7017543859649122,0.6565283054982805,0.6917666294863684
3,1.134859660738393,0.9979677388542577,0.7171052631578947,0.7192982456140351,0.7171052631578947,0.7192982456140351,0.7131356143790374,0.7165760702659542
4,0.789936683418458,0.8034933313988802,0.7834429824561403,0.75,0.7834429824561403,0.75,0.782002810115675,0.7483765381734205
5,0.5596095239906981,0.7122214656127127,0.850328947368421,0.763157894736842,0.850328947368421,0.7631578947368421,0.849799790677533,0.7604760462728836
6,0.40591458714844886,0.6500676201100934,0.9046052631578947,0.7412280701754386,0.9046052631578947,0.7412280701754386,0.904543294987481,0.7390070268313783
7,0.3308581390924621,0.6328210025502924,0.9205043859649122,0.7456140350877193,0.9205043859649122,0.7456140350877193,0.9205085800794042,0.7432081807081808
8,0.22365704963081762,0.618798350555855,0.9643640350877193,0.7587719298245613,0.9643640350877193,0.7587719298245614,0.9643411380642756,0.7585450322686728
9,0.17694604102718203,0.6017644949126661,0.96875,0.7456140350877193,0.96875,0.7456140350877193,0.9687356791729322,0.7460729960729962
10,0.13960650955375872,0.6077068479437577,0.981907894736842,0.7719298245614035,0.9819078947368421,0.7719298245614035,0.9819050877110924,0.7718204033993508
11,0.11477622429006978,0.5818657373127184,0.9830043859649122,0.7850877192982456,0.9830043859649122,0.7850877192982456,0.9830025306651193,0.7848295884010169
12,0.08954983075525154,0.5969615003518891,0.987390350877193,0.7807017543859649,0.987390350877193,0.7807017543859649,0.9873856416863518,0.7810283025664508
13,0.06303844785546525,0.6046386732344042,0.9967105263157894,0.7456140350877193,0.9967105263157895,0.7456140350877193,0.9967105025860653,0.7447046693180144
14,0.060549730647420676,0.6217179277486968,0.9923245614035087,0.7850877192982456,0.9923245614035088,0.7850877192982456,0.9923244779781896,0.7857637446337072
15,0.05872265263378881,0.6260471940040588,0.9934210526315789,0.7850877192982456,0.993421052631579,0.7850877192982456,0.9934223974203993,0.785385238669235
16,0.05471233890408225,0.6310928693988866,0.9934210526315789,0.7675438596491228,0.993421052631579,0.7675438596491229,0.9934196796748866,0.7674440255085416
